X,Y,VDC_NAME,OCHA_VNAME,HLCIT_CODE
85.35962499,27.93304942,Sundaradevi,Sundaradevi,524 2 05 28 5 034
85.31938957,27.84089677,Sunkhani,Sunkhani,524 2 05 28 5 006
85.20399454,27.88930619,Suryamati,Suryamati,524 2 05 28 5 013
85.44127952,27.85398717,Talakhu,Talakhu,524 2 05 28 5 009
85.00717534,27.87018404,Taruka,Taruka,524 2 05 28 5 049
85.2940973,27.84187024,Thanapati,Thanapati,524 2 05 28 5 007
85.25411159,27.8670135,Thansing,Thansing,524 2 05 28 5 014
85.34767874,27.90582201,Thaprek,Thaprek,524 2 05 28 5 026
85.14787506,27.96617268,Tupche,Tupche,524 2 05 28 5 061
85.3429526,27.98369273,Urleni,Urleni,524 2 05 28 5 035
85.24426209,27.99791615,Bhorle,Bhorle,524 2 05 29 5 005
85.38376424,28.19382802,Briddim,Bridhim,524 2 05 29 5 016
85.26912996,28.23367043,Chilime,Chilime,524 2 05 29 5 012
85.17455187,28.09886819,Danda Gaun,Dandagoun,524 2 05 29 5 009
85.31947479,28.08072251,Dhunche,Dhunche,524 2 05 29 5 002
85.22754683,28.22444292,Gatlang,Gatlang,524 2 05 29 5 011
85.30950625,28.16680846,Goljung,Goljung,524 2 05 29 5 018
85.23271794,28.11849947,Haku,Haku,524 2 05 29 5 001
